contigID	contigLength	ExtractCompleteContig	PartialExtraction_Start	PartialExtraction_Stop
chr1	248956422	0		
chr2	242193529	0		
chr3	198295559	0		
chr4	190214555	0		
chr5	181538259	0		
chr6	170805979	0	28510120	33480575
chr7	159345973	0		
chr8	145138636	0		
chr9	138394717	0		
chr10	133797422	0		
chr11	135086622	0		
chr12	133275309	0		
chr13	114364328	0		
chr14	107043718	0		
chr15	101991189	0		
chr16	90338345	0		
chr17	83257441	0		
chr18	80373285	0		
chr19	58617616	0		
chr20	64444167	0		
chr21	46709983	0		
chr22	50818468	0		
chrX	156040895	0		
chrY	57227415	0		
*	0	0		
